Province,Health Zone,Avg days (prior),Avg days (follow-up),Log2 ratio,Flag
Ituri,Adja,5.063e-05,1.969e-05,-1.363e+00,
Mongala,Binga,1.406e-05,1.969e-05,4.850e-01,
Kasaï Oriental,Kabeya Kamwanga,8.438e-06,1.969e-05,1.222e+00,
Kasaï Oriental,Kansele,2.250e-05,1.969e-05,-1.930e-01,
Tanganyika,Kansimba,5.625e-05,1.969e-05,-1.515e+00,
Kwilu,Lusanga,1.125e-05,1.969e-05,8.070e-01,
Kwilu,Bandundu,4.782e-05,1.688e-05,-1.503e+00,
Sud-Kivu,Kalole,0.000e+00,1.688e-05,1.585e+00,
Kasaï Central,Kananga,2.813e-05,1.688e-05,-7.370e-01,
Kasaï Central,Mikalayi,5.625e-06,1.688e-05,1.585e+00,
Nord-Ubangi,Yakoma,1.941e-04,1.688e-05,-1.585e+00,
Equateur,Mampoko,9.543e-06,1.547e-05,6.970e-01,
Kwango,Boko,1.406e-05,1.406e-05,0.000e+00,
Maindombe,Yumbi,6.730e-06,1.406e-05,1.063e+00,
Equateur,Irebu,2.813e-06,1.313e-05,1.585e+00,
Tanganyika,Nyunzu,2.813e-06,1.266e-05,1.585e+00,
Nord-Kivu,Birambizo,1.406e-05,1.125e-05,-3.220e-01,
Kongo Central,Kangu,0.000e+00,1.125e-05,1.585e+00,
Maindombe,Kwamouth,8.438e-06,1.125e-05,4.150e-01,
Kwilu,Masi Manimba,1.125e-05,1.125e-05,0.000e+00,
Kwilu,Mosango,1.406e-05,1.125e-05,-3.220e-01,
Maniema,Pangi,5.625e-06,1.125e-05,1.000e+00,
Kasaï Oriental,Dibindi,5.625e-06,8.438e-06,5.850e-01,
Haut-Katanga,Katuba,5.625e-06,8.438e-06,5.850e-01,
Haut-Katanga,Lukafu,0.000e+00,8.438e-06,1.585e+00,
Maniema,Samba,0.000e+00,8.438e-06,1.585e+00,
Lualaba,Sandoa,0.000e+00,8.438e-06,1.585e+00,
Kongo Central,Seke Banza,1.125e-05,8.438e-06,-4.150e-01,
Haut-Katanga,Vangu,0.000e+00,8.438e-06,1.585e+00,
Mongala,Boso Manzi,0.000e+00,5.625e-06,1.585e+00,
Sud-Ubangi,Bulu,1.125e-05,5.625e-06,-1.000e+00,
Kwilu,Idiofa,2.813e-06,5.625e-06,1.000e+00,
Lualaba,Kasaji,0.000e+00,5.625e-06,1.585e+00,
Kwango,Kasongo Lunda,0.000e+00,5.625e-06,1.585e+00,
Sankuru,Katako Kombe,5.344e-05,5.625e-06,-1.585e+00,
Kasaï Central,Katende,8.438e-06,5.625e-06,-5.850e-01,
Kasaï,Luebo,0.000e+00,5.625e-06,1.585e+00,
Kongo Central,Lukula,0.000e+00,5.625e-06,1.585e+00,
Tanganyika,Manono,2.813e-06,5.625e-06,1.000e+00,
Kwilu,Mukedi,8.438e-06,5.625e-06,-5.850e-01,
Haut-Lomami,Mulongo,0.000e+00,5.625e-06,1.585e+00,
Kwango,Popokabaka,0.000e+00,5.625e-06,1.585e+00,
Haut-Katanga,Pweto,0.000e+00,5.625e-06,1.585e+00,
Kasaï Oriental,Tshishimbi,5.625e-06,4.688e-06,-2.630e-01,
Kwilu,Bagata,2.813e-06,2.813e-06,0.000e+00,
Kwilu,Bulungu,2.813e-06,2.813e-06,0.000e+00,
Lualaba,Bunkeya,0.000e+00,2.813e-06,1.585e+00,
Kasaï Oriental,Citenge,0.000e+00,2.813e-06,1.585e+00,
Kasaï Central,Demba,0.000e+00,2.813e-06,1.585e+00,
Lualaba,Dilolo,0.000e+00,2.813e-06,1.585e+00,
Maniema,Ferekeni,1.181e-04,2.813e-06,-1.585e+00,
Sud-Kivu,Haut Plateau,0.000e+00,2.813e-06,1.585e+00,
Lomami,Kanda Kanda,2.813e-06,2.813e-06,0.000e+00,
Tanganyika,Kiambi,0.000e+00,2.813e-06,1.585e+00,
Haut-Katanga,Kilwa,5.625e-06,2.813e-06,-1.000e+00,
Maniema,Kunda,5.063e-05,2.813e-06,-1.585e+00,
Equateur,Lukolela,2.813e-06,2.813e-06,0.000e+00,
Tshuapa,Monkoto,0.000e+00,2.813e-06,1.585e+00,
Haut-Lomami,Mukanga,2.813e-06,2.813e-06,0.000e+00,
Kasaï Oriental,Muya,2.813e-06,2.813e-06,0.000e+00,
Maindombe,Nioki,0.000e+00,2.813e-06,1.585e+00,
Sankuru,Wembo Nyama,0.000e+00,2.813e-06,1.585e+00,
Tshopo,Yabaondo,4.500e-05,2.813e-06,-1.585e+00,
Tshopo,Yaleko,6.188e-05,2.813e-06,-1.585e+00,
Mongala,Yambuku,0.000e+00,2.813e-06,1.585e+00,
Bas-Uele,Ango,1.828e-04,0.000e+00,-1.585e+00,
Tanganyika,Ankoro,2.813e-06,0.000e+00,-1.585e+00,
Haut-Lomami,Baka,0.000e+00,0.000e+00,,
Kasaï,Banga Lubaka,0.000e+00,0.000e+00,,
Sud-Ubangi,Bangabola,0.000e+00,0.000e+00,,
Maindombe,Banzow Moke,0.000e+00,0.000e+00,,
Equateur,Basankusu,0.000e+00,0.000e+00,,
Tshuapa,Befale,0.000e+00,0.000e+00,,
Sankuru,Bena Dibele,0.000e+00,0.000e+00,,
Kasaï Central,Bena Leka,0.000e+00,0.000e+00,,
Kasaï Central,Bena Tshadi,0.000e+00,0.000e+00,,
Kasaï Oriental,Bibanga,0.000e+00,0.000e+00,,
Equateur,Bikoro,2.813e-06,0.000e+00,-1.585e+00,
Bas-Uele,Bili,0.000e+00,0.000e+00,,
Tshuapa,Boende,5.344e-05,0.000e+00,-1.585e+00,
Sud-Ubangi,Bogosenubea,0.000e+00,0.000e+00,,
Sud-Ubangi,Bokonzi,0.000e+00,0.000e+00,,
Maindombe,Bokoro,8.438e-06,0.000e+00,-1.585e+00,
Equateur,Bolomba,0.000e+00,0.000e+00,,
Equateur,Bomongo,1.969e-05,0.000e+00,-1.585e+00,
Mongala,Boso Mondanda,1.266e-05,0.000e+00,-1.585e+00,
Maindombe,Bosobe,0.000e+00,0.000e+00,,
Nord-Ubangi,Bosobolo,0.000e+00,0.000e+00,,
Mongala,Bosondjo,0.000e+00,0.000e+00,,
Sud-Ubangi,Boto,0.000e+00,0.000e+00,,
Sud-Ubangi,Budjala,0.000e+00,0.000e+00,,
Haut-Lomami,Bukama,0.000e+00,0.000e+00,,
Tshuapa,Busanga,1.406e-05,0.000e+00,-1.585e+00,
Sud-Ubangi,Bwamanda,0.000e+00,0.000e+00,,
Kasaï,Dekese,0.000e+00,0.000e+00,,
Sankuru,Djalo Ndjeka,1.125e-05,0.000e+00,-1.585e+00,
Kwilu,Djuma,0.000e+00,0.000e+00,,
Haut-Uele,Doruma,4.078e-05,0.000e+00,-1.585e+00,
Kwango,Feshi,0.000e+00,0.000e+00,,
Nord-Ubangi,Gbadolite,7.032e-05,0.000e+00,-1.585e+00,
Kwilu,Gungu,0.000e+00,0.000e+00,,
Kasaï,Ilebo,0.000e+00,0.000e+00,,
Equateur,Ingende,0.000e+00,0.000e+00,,
Maindombe,Inongo,3.938e-05,0.000e+00,-1.585e+00,
Kwilu,Ipamu,0.000e+00,0.000e+00,,
Sud-Kivu,Itombwe,0.000e+00,0.000e+00,,
Tanganyika,Kabalo,0.000e+00,0.000e+00,,
Maniema,Kabambare,5.625e-06,0.000e+00,-1.585e+00,
Lomami,Kabinda,2.813e-06,0.000e+00,-1.585e+00,
Haut-Lomami,Kabondo Dianda,0.000e+00,0.000e+00,,
Haut-Lomami,Kabongo,0.000e+00,0.000e+00,,
Kwango,Kahemba,0.000e+00,0.000e+00,,
Kwango,Kajiji,0.000e+00,0.000e+00,,
Kasaï,Kakenge,0.000e+00,0.000e+00,,
Lualaba,Kalamba,0.000e+00,0.000e+00,,
Lomami,Kalambayi Kaban,0.000e+00,0.000e+00,,
Lomami,Kalenda,0.000e+00,0.000e+00,,
Lomami,Kalonda Est,0.000e+00,0.000e+00,,
Lomami,Kamana,0.000e+00,0.000e+00,,
Haut-Lomami,Kamina,4.078e-06,0.000e+00,-1.585e+00,
Kasaï,Kamonia,0.000e+00,0.000e+00,,
Haut-Lomami,Kaniama,0.000e+00,0.000e+00,,
Lualaba,Kanzenze,0.000e+00,0.000e+00,,
Nord-Ubangi,Karawa,8.438e-06,0.000e+00,-1.585e+00,
Haut-Katanga,Kashobwe,0.000e+00,0.000e+00,,
Haut-Lomami,Kayamba,0.000e+00,0.000e+00,,
Kongo Central,Kibunzi,0.000e+00,0.000e+00,,
Kwilu,Kikongo,0.000e+00,0.000e+00,,
Haut-Katanga,Kilela Balanda,0.000e+00,0.000e+00,,
Kwango,Kimbao,0.000e+00,0.000e+00,,
Kongo Central,Kimpangu,0.000e+00,0.000e+00,,
Haut-Lomami,Kinda,0.000e+00,0.000e+00,,
Kwilu,Kingandu,0.000e+00,0.000e+00,,
Haut-Lomami,Kinkondja,0.000e+00,0.000e+00,,
Kongo Central,Kinkonzi,0.000e+00,0.000e+00,,
Maindombe,Kiri,0.000e+00,0.000e+00,,
Kwango,Kisanji,0.000e+00,0.000e+00,,
Kwango,Kitenda,0.000e+00,0.000e+00,,
Haut-Lomami,Kitenge,0.000e+00,0.000e+00,,
Kongo Central,Kizu,0.000e+00,0.000e+00,,
Sankuru,Kole,0.000e+00,0.000e+00,,
Kwilu,Koshibanda,0.000e+00,0.000e+00,,
Kongo Central,Kuimba,0.000e+00,0.000e+00,,
Sud-Ubangi,Kungu,0.000e+00,0.000e+00,,
Sud-Ubangi,Libenge,0.000e+00,0.000e+00,,
Equateur,Lilanga Bobangi,0.000e+00,0.000e+00,,
Tshuapa,Lingomo,0.000e+00,0.000e+00,,
Nord-Ubangi,Loko,8.438e-06,0.000e+00,-1.585e+00,
Equateur,Lotumbe,0.000e+00,0.000e+00,,
